Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Time,Merchant_Category,Transaction_Location,Card_Type,Device_Type,Is_Fraud
T100031,C3545,122.43,25-02-25 05:17,Travel,North Erica,Credit,Mobile,1
T100032,C1423,162.57,27-01-25 07:15,Entertainment,Danielletown,Debit,Web,0
T100033,C4274,295.63,20-04-25 00:51,Groceries,Terrellhaven,Debit,POS,0
T100034,C1008,94.86,01-02-25 15:22,Gas,Johnfurt,Debit,Web,0
T100035,C5580,682.69,20-01-25 01:18,Gas,Castillofort,Debit,POS,0
T100036,C3306,81.43,14-03-25 10:25,Health,Hicksview,Prepaid,POS,0
T100037,C7415,206.17,03-08-25 05:39,Electronics,West Phyllisville,Prepaid,POS,0
T100038,C6267,57.96,07-07-25 14:15,Groceries,New Madisonville,Prepaid,Mobile,0
T100039,C1069,532.93,05-08-25 19:55,Groceries,Kimberlyberg,Prepaid,POS,0
T100040,C7345,243.59,16-04-25 19:31,Gas,Port Tammyton,Prepaid,POS,0
T100041,C5272,95.88,05-01-25 12:17,Entertainment,North Darin,Debit,Web,0
T100042,C4202,50.46,14-07-25 08:02,Gas,Johnsonport,Prepaid,Mobile,0
T100043,C3477,121.62,26-02-25 17:39,Entertainment,Valdezfort,Debit,Web,0
T100044,C9515,393.68,09-08-25 14:51,Restaurants,Port Tara,Debit,Mobile,0
T100045,C2578,523.11,23-04-25 11:25,Clothing,East Devin,Credit,Web,0
T100046,C5819,179.96,08-05-25 01:19,Clothing,Coxview,Credit,POS,0
T100047,C3356,224.63,27-05-25 10:06,Health,Troyville,Debit,POS,0
T100048,C1834,584.65,28-03-25 14:34,Gas,South Cassandra,Prepaid,Mobile,0
T100049,C6716,266.45,24-03-25 00:27,Travel,Macdonaldport,Prepaid,Mobile,0
T100050,C2937,459.7,08-03-25 03:59,Entertainment,Port Michaela,Prepaid,Mobile,0
T100051,C6335,229.05,08-07-25 11:59,Clothing,South Jeffrey,Debit,Mobile,0
T100052,C6444,233.25,25-01-25 23:12,Health,Davidchester,Debit,POS,0
T100053,C7004,508,01-06-25 19:34,Gas,North Joshuafurt,Prepaid,POS,0
T100054,C1670,102.09,18-03-25 16:13,Groceries,Johnstad,Credit,POS,0
T100055,C3154,31.97,22-02-25 20:11,Gas,East Jeremy,Prepaid,POS,0
T100056,C6625,160.57,05-03-25 14:53,Restaurants,West Ashleyfort,Credit,Mobile,0
T100057,C7583,201.18,09-04-25 16:05,Restaurants,Gutierrezberg,Credit,Web,0
T100058,C5339,328.75,09-08-25 15:45,Gas,West Rickyhaven,Prepaid,Mobile,0
T100059,C5127,34.98,01-04-25 13:18,Health,Rodneyfort,Prepaid,Mobile,0
T100060,C9291,99.68,19-03-25 03:19,Clothing,Audreyville,Debit,Web,0
T100061,C4203,360.61,20-01-25 02:15,Groceries,Jacobsonshire,Prepaid,Mobile,0
T100062,C7196,313.53,05-02-25 23:00,Electronics,Port Mistyfurt,Prepaid,Mobile,0
T100063,C3340,187.28,03-02-25 12:44,Entertainment,Woodmouth,Debit,Mobile,0
T100064,C3417,155.26,13-02-25 23:05,Health,South Justin,Credit,POS,0
T100065,C3590,299.51,14-01-25 17:32,Travel,North Joannetown,Credit,Mobile,0
T100066,C4257,191.02,23-05-25 20:34,Electronics,Port Robin,Prepaid,Mobile,0
T100067,C3093,100.77,17-02-25 14:06,Restaurants,North Ericmouth,Credit,POS,0
T100068,C3325,183.42,23-05-25 16:38,Entertainment,New Brandi,Prepaid,Mobile,0
T100069,C3328,460.29,12-01-25 04:01,Groceries,East Jennifer,Credit,Web,0
T100070,C6177,149.32,29-07-25 23:43,Groceries,Peterside,Credit,Web,0
T100071,C4436,82.55,25-05-25 16:59,Travel,Williamberg,Prepaid,Web,0
T100072,C2871,499.71,03-03-25 04:30,Clothing,Port Dawn,Prepaid,POS,0
T100073,C2199,479.28,28-06-25 00:44,Clothing,Saraberg,Credit,Web,0
T100074,C7854,70.53,07-01-25 23:47,Gas,Hicksborough,Credit,Web,0
T100075,C2089,265.83,15-01-25 02:57,Gas,North Matthewside,Debit,Web,0
T100076,C2042,295.47,31-07-25 01:19,Clothing,New Saratown,Prepaid,POS,0
T100077,C8326,56.24,06-07-25 05:59,Groceries,North Christopherfurt,Credit,Mobile,0
T100078,C5080,201.64,26-06-25 01:09,Clothing,Shahbury,Debit,Mobile,0
T100079,C4112,467.05,05-07-25 17:47,Gas,Kentchester,Debit,POS,0
T100080,C8926,240.05,12-03-25 21:05,Clothing,Williamsfurt,Prepaid,POS,0
T100081,C3883,434.49,23-01-25 02:28,Gas,Michelleton,Credit,Web,0
T100082,C1492,221.31,28-04-25 01:17,Travel,South Tammyview,Debit,POS,0
T100083,C8515,175.19,02-01-25 05:35,Electronics,Debramouth,Debit,Web,0
T100084,C4183,264.7,26-08-25 08:38,Clothing,New Rachael,Credit,Web,0
T100085,C7654,356.88,19-01-25 04:46,Health,North Natalie,Prepaid,Mobile,1
T100086,C8216,520.06,04-04-25 02:12,Groceries,Vanessastad,Debit,POS,0
T100087,C4256,203.37,22-07-25 15:12,Groceries,Connorberg,Prepaid,Mobile,0
T100088,C1475,251.86,24-04-25 17:08,Health,Roberttown,Prepaid,POS,0
T100089,C5645,331.05,27-02-25 16:29,Clothing,Dannyport,Prepaid,Mobile,0
T100090,C4922,241.6,28-05-25 23:22,Health,New Paula,Prepaid,Web,0
T100091,C5547,458.04,01-06-25 09:25,Gas,Lovetown,Prepaid,Web,0
T100092,C9116,344.33,03-05-25 05:13,Clothing,Sharonview,Debit,POS,0
T100093,C8378,396.13,26-01-25 04:29,Entertainment,Ramirezbury,Debit,Mobile,0
T100094,C9839,158.36,10-06-25 20:55,Clothing,Floresside,Credit,Mobile,0
T100095,C3802,470.88,13-06-25 17:22,Restaurants,North Andrew,Credit,Mobile,0
T100096,C4700,313.26,25-03-25 03:14,Gas,Jonesville,Credit,Web,0
T100097,C8190,225.58,21-02-25 15:08,Gas,New Seanchester,Credit,Web,0
T100098,C1317,217.67,16-08-25 08:17,Travel,Pamelabury,Credit,Mobile,0
T100099,C2004,297.94,25-04-25 18:39,Gas,Lake Michelle,Prepaid,POS,0
T100100,C4037,496.58,03-06-25 07:04,Clothing,West Jonathonshire,Debit,POS,0
T100101,C5737,689.06,09-08-25 15:23,Restaurants,East Jacob,Prepaid,Mobile,0
T100102,C6716,517.03,15-06-25 00:04,Clothing,Markmouth,Credit,Web,1
T100103,C5484,502.77,03-07-25 13:45,Clothing,New Tamiland,Debit,Web,0
T100104,C6216,19.26,04-07-25 09:05,Travel,Garciaton,Credit,Web,0
T100105,C5583,233.34,29-08-25 04:57,Electronics,Sandraland,Credit,POS,0
T100106,C4244,211.6,14-04-25 21:19,Travel,Port Erin,Credit,POS,1
T100107,C3183,550.2,11-01-25 00:28,Groceries,Simsville,Prepaid,POS,0
T100108,C2190,317.53,20-02-25 10:04,Groceries,Lake Ashley,Prepaid,Web,0
T100109,C4544,127.56,16-01-25 06:47,Groceries,Timport,Debit,Mobile,0
T100110,C6635,160.15,20-07-25 23:51,Travel,Dianaburgh,Credit,POS,0
T100111,C6113,192.02,17-07-25 09:41,Groceries,Rothhaven,Debit,Mobile,0
T100112,C2294,477.35,26-05-25 11:55,Travel,New Emmaport,Debit,Web,0
T100113,C2533,210.59,05-08-25 18:27,Entertainment,Fisherchester,Prepaid,Mobile,0
T100114,C5755,250.35,17-08-25 18:49,Travel,Olsontown,Prepaid,Mobile,0
T100115,C1897,33.74,31-03-25 18:27,Restaurants,Thomasview,Credit,POS,0
T100116,C9385,187.67,09-04-25 17:45,Entertainment,Boyerside,Prepaid,Mobile,0
T100117,C7483,490.13,26-03-25 08:00,Electronics,Rogerborough,Credit,Mobile,0
T100118,C8668,109,14-02-25 22:30,Health,Lake Davidland,Credit,Web,0
T100119,C5584,490.9,15-08-25 08:58,Gas,East Keithton,Credit,Web,0
T100120,C3818,370.19,13-02-25 23:35,Gas,Andersonshire,Debit,Mobile,0
T100121,C9803,209.11,28-03-25 06:39,Gas,New Christopherbury,Prepaid,POS,0
T100122,C1323,142.07,31-07-25 18:13,Restaurants,Laurenborough,Debit,Mobile,0
T100123,C2347,248.98,05-03-25 18:16,Groceries,Madelineton,Debit,Web,0
T100124,C5228,366.55,09-07-25 05:35,Entertainment,West Michael,Credit,Web,0
T100125,C2743,342.34,03-02-25 19:53,Clothing,Flemingbury,Debit,Web,0
T100126,C6519,424.48,12-02-25 16:02,Electronics,East Ericaview,Prepaid,POS,0
T100127,C6750,575.97,04-08-25 18:06,Groceries,Lake Keithhaven,Prepaid,POS,0
T100128,C8350,157.16,16-03-25 16:50,Groceries,North Jacquelineview,Prepaid,POS,0
T100129,C8782,178.01,25-04-25 02:20,Groceries,Bethanyview,Debit,Web,0
T100130,C7599,428.94,13-08-25 03:25,Entertainment,Port Margaretfort,Credit,Web,0
T100131,C4938,450.48,13-04-25 01:32,Travel,New Harry,Credit,POS,0
T100132,C9816,385.93,15-07-25 22:39,Restaurants,Wrightberg,Debit,Mobile,0
T100133,C3394,275.53,20-07-25 21:13,Health,Port Connie,Prepaid,POS,0
T100134,C1384,265.93,17-02-25 16:14,Groceries,West Josephstad,Credit,POS,0
T100135,C7207,284.57,16-01-25 02:55,Clothing,New Kevin,Prepaid,POS,0
T100136,C8330,283.56,16-01-25 11:06,Entertainment,New Paulberg,Prepaid,Web,0
T100137,C8239,270.48,17-03-25 04:24,Travel,Port Deborahborough,Prepaid,POS,0
T100138,C5240,127.07,27-02-25 00:07,Restaurants,Dawnmouth,Prepaid,Web,0
T100139,C8085,445.08,24-08-25 14:31,Groceries,Nguyenmouth,Prepaid,Mobile,0
T100140,C2139,355.76,24-07-25 02:42,Electronics,West Ryanborough,Credit,POS,0
T100141,C5072,218.03,04-03-25 07:04,Gas,Miguelshire,Debit,Mobile,0
T100142,C8738,357.39,23-05-25 02:30,Gas,Lake Matthew,Prepaid,POS,0
T100143,C8639,317.07,27-08-25 00:06,Groceries,West Royshire,Debit,Web,0
T100144,C7257,201.07,02-06-25 19:54,Groceries,Morenohaven,Credit,Mobile,0
T100145,C8437,397.44,09-01-25 16:00,Electronics,Valenciashire,Debit,Mobile,0
T100146,C3924,261.99,13-08-25 00:35,Groceries,North Maxbury,Prepaid,POS,0
T100147,C1124,253.91,09-01-25 19:07,Entertainment,Stephanieside,Credit,Mobile,0
T100148,C6894,149.5,08-07-25 02:34,Electronics,West Tara,Prepaid,POS,0
T100149,C4383,480.84,04-02-25 05:15,Gas,Scottfurt,Prepaid,Web,0
T100150,C1539,302.82,30-07-25 05:37,Gas,North Dustin,Prepaid,Web,0
T100151,C4725,205.02,11-02-25 16:48,Health,Port Kristen,Prepaid,Web,0
T100152,C3932,410.18,04-07-25 14:40,Entertainment,Thorntonchester,Prepaid,POS,0
T100153,C9718,605.84,27-08-25 13:00,Restaurants,Ericshire,Debit,Web,0
T100154,C9423,420.46,14-08-25 01:33,Groceries,Johnborough,Debit,Web,0
T100155,C4729,416.43,09-07-25 10:05,Gas,West Patrickville,Credit,POS,0
T100156,C3520,506.79,02-07-25 04:55,Restaurants,Port Annahaven,Prepaid,Web,0
T100157,C4975,318.47,21-02-25 13:44,Electronics,North Sarah,Debit,POS,0
T100158,C2610,590.28,13-02-25 04:11,Gas,South Alexa,Debit,POS,0
T100159,C6869,212.07,06-01-25 21:12,Groceries,Gordonbury,Prepaid,POS,0
T100160,C5153,78.69,28-02-25 02:11,Clothing,Lake Lori,Debit,POS,0
T100161,C7546,105.03,02-05-25 03:36,Health,Cookville,Prepaid,Web,0
T100162,C4744,420.85,27-02-25 03:01,Health,Port Daniel,Prepaid,Web,0
T100163,C3035,322.82,21-02-25 00:12,Health,East Cameronmouth,Debit,Web,0
T100164,C8534,487.48,10-08-25 21:26,Gas,South Chrisland,Credit,Mobile,0
T100165,C4910,151.91,22-05-25 07:54,Travel,Thompsonhaven,Debit,POS,0
T100166,C3514,201.95,29-05-25 12:21,Groceries,Robertsside,Prepaid,POS,0
T100167,C1905,101.48,19-07-25 18:08,Restaurants,North Charlotte,Prepaid,Web,0
T100168,C8564,362.45,17-05-25 15:44,Health,West Anthony,Debit,Web,1
T100169,C3653,460.73,23-08-25 09:09,Groceries,Daleburgh,Credit,Web,0
T100170,C5291,394.57,20-04-25 18:25,Health,Myersport,Debit,Mobile,0
T100171,C6537,323.64,24-06-25 05:44,Health,Port David,Debit,POS,0
T100172,C6877,487.04,07-05-25 22:22,Groceries,Moralesland,Credit,Mobile,0
T100173,C2644,502.69,30-06-25 08:44,Groceries,Scottfort,Prepaid,Mobile,0
T100174,C6704,212.78,28-08-25 01:45,Clothing,Bradleymouth,Credit,Mobile,0
T100175,C5910,375.44,06-05-25 08:44,Gas,North Kathryn,Prepaid,Web,0
T100176,C7278,158.33,31-07-25 22:17,Travel,New Tracymouth,Credit,Web,0
T100177,C7618,544.86,18-03-25 03:20,Clothing,Lake Tammieberg,Prepaid,Web,0
T100178,C3731,436.06,11-05-25 16:23,Groceries,West Carol,Credit,Web,0
T100179,C7309,235,26-08-25 04:02,Travel,Lake Ashley,Prepaid,POS,0
T100180,C8473,263.65,10-07-25 20:48,Groceries,South Edward,Credit,Web,0
T100181,C9989,427.73,30-05-25 18:23,Restaurants,Joshuamouth,Prepaid,Mobile,1
T100182,C2387,348.54,16-01-25 19:50,Travel,Aguilarside,Prepaid,Web,0
T100183,C8154,459.24,21-06-25 07:55,Health,Port Erikburgh,Prepaid,Mobile,0
T100184,C5056,247.52,25-01-25 10:45,Travel,North Charlesstad,Debit,Web,0
T100185,C5429,138.35,16-05-25 15:04,Travel,West Jason,Prepaid,Mobile,0
T100186,C5012,123.02,20-08-25 13:06,Travel,West Michaelstad,Prepaid,Web,0
T100187,C3205,200.89,24-08-25 10:34,Clothing,South Jenniferland,Debit,Web,0
T100188,C9105,80.32,31-01-25 14:22,Health,Navarroberg,Prepaid,Mobile,0
T100189,C9219,415.92,26-03-25 06:20,Travel,East Darrenville,Debit,Web,0
T100190,C3382,122.7,18-08-25 13:19,Health,East Cody,Debit,Web,0
T100191,C4396,160.96,27-01-25 03:12,Groceries,Matthewmouth,Credit,POS,0
T100192,C2775,172.31,08-06-25 15:43,Clothing,New Alyssamouth,Prepaid,Web,0
T100193,C1226,412.67,05-03-25 01:03,Groceries,North Hannahtown,Credit,Mobile,0
T100194,C5706,408.37,07-04-25 15:32,Electronics,Michaelville,Prepaid,POS,0
T100195,C2325,373.61,23-05-25 10:55,Gas,East Nicholasshire,Credit,Mobile,0
T100196,C6132,73.6,06-01-25 15:26,Health,Port Terrimouth,Prepaid,POS,0
T100197,C4978,243.01,19-07-25 05:45,Clothing,Timothyburgh,Credit,POS,0
T100198,C9230,98.66,27-07-25 09:29,Health,Paynestad,Credit,Web,0
T100199,C1681,191.77,19-01-25 08:13,Clothing,East Erinfort,Prepaid,POS,0
T100200,C7004,518.37,07-02-25 02:26,Groceries,Jeffreyport,Debit,POS,0
T100201,C1890,189.44,17-08-25 05:42,Groceries,South Christopher,Credit,Mobile,0
T100202,C4416,372.47,15-05-25 18:26,Restaurants,Davidview,Credit,Web,0
T100203,C7219,321.65,28-02-25 17:09,Gas,South Peterstad,Credit,Mobile,0
T100204,C5132,387.9,13-05-25 22:13,Health,Stephanieton,Prepaid,Mobile,1
T100205,C4401,460,24-03-25 01:16,Gas,East Nancy,Prepaid,Mobile,0
T100206,C7341,310.48,26-03-25 12:03,Groceries,Wardfurt,Prepaid,POS,0
T100207,C5587,425.84,16-05-25 11:53,Travel,Millerfort,Credit,Web,0
T100208,C3992,393.33,17-07-25 15:39,Restaurants,Marshallland,Prepaid,POS,0
T100209,C2468,313.21,23-04-25 07:43,Clothing,South Laurashire,Credit,POS,0
T100210,C6970,113.79,30-07-25 00:40,Health,Lauraview,Credit,POS,0
T100211,C1016,79.29,31-05-25 19:57,Clothing,North Jasonview,Credit,Mobile,0
T100212,C3573,429.76,16-01-25 02:06,Restaurants,East Arthur,Debit,Web,0
T100213,C3475,489.39,05-08-25 09:33,Electronics,Autumnshire,Prepaid,Web,0
T100214,C7197,480.12,09-03-25 16:59,Health,Torresberg,Prepaid,Web,0
T100215,C4429,272.14,28-07-25 06:03,Clothing,New Dean,Prepaid,Mobile,0
T100216,C6947,75.21,17-06-25 22:13,Clothing,Lake Crystal,Debit,POS,0
T100217,C4882,350,19-06-25 21:58,Health,Garrettstad,Credit,Web,0
T100218,C6767,297.96,20-08-25 11:53,Restaurants,Perryfort,Prepaid,Web,0
T100219,C6383,138.91,06-06-25 08:24,Clothing,Bryantfort,Debit,Web,0
T100220,C5406,297.15,18-02-25 13:54,Clothing,South Natalie,Debit,POS,0
T100221,C8638,316.13,30-04-25 03:59,Electronics,Flowersfurt,Debit,POS,0
T100222,C8719,426.83,14-05-25 09:24,Gas,Davidmouth,Credit,Web,0
T100223,C1927,275.27,04-06-25 20:22,Groceries,Toddfort,Debit,POS,0
T100224,C9333,22.56,03-02-25 14:33,Health,Jensenbury,Prepaid,Web,0
T100225,C4985,161.88,11-06-25 14:36,Clothing,Bowenhaven,Prepaid,POS,0
T100226,C1761,72.52,28-08-25 23:26,Clothing,Jimeneztown,Prepaid,Mobile,0
T100227,C2160,411.74,24-03-25 14:03,Travel,Robinsonmouth,Prepaid,Web,0
T100228,C3994,429.26,27-08-25 15:14,Travel,Lawrenceland,Debit,Web,0
T100229,C6896,474.57,26-02-25 16:02,Groceries,Kelleyburgh,Debit,POS,0
T100230,C5465,517.88,22-01-25 05:33,Health,Frederickberg,Prepaid,POS,0
T100231,C7368,426.53,30-03-25 16:05,Restaurants,West Traviston,Debit,Mobile,0
T100232,C8661,322.57,17-05-25 07:49,Restaurants,North Josephside,Credit,POS,0
T100233,C2482,111.05,05-01-25 08:25,Travel,North Dennisland,Debit,Mobile,0
T100234,C6558,142.55,30-01-25 17:06,Restaurants,West Taylormouth,Credit,Mobile,0
T100235,C8794,212.26,10-06-25 15:40,Gas,Karenhaven,Credit,POS,0
T100236,C4140,251.85,12-02-25 04:32,Electronics,West Dianafurt,Prepaid,Mobile,0
T100237,C9899,190.53,06-03-25 00:32,Electronics,North Justintown,Prepaid,POS,0
T100238,C9593,473.52,06-06-25 01:14,Restaurants,Shawntown,Debit,Web,0
T100239,C2685,312.32,15-05-25 04:11,Health,Port Desireeland,Debit,Mobile,0
T100240,C6759,194.42,10-01-25 06:12,Groceries,Burkefort,Credit,POS,0
T100241,C2613,70.32,08-04-25 02:22,Gas,Troyville,Debit,POS,0
T100242,C7160,448.87,14-08-25 17:44,Groceries,West Larry,Credit,POS,0
T100243,C3969,273.75,27-08-25 00:45,Groceries,New Michaelport,Prepaid,Web,0
T100244,C9788,485.22,23-07-25 06:57,Restaurants,West Carolville,Debit,POS,0
T100245,C2763,177.83,29-03-25 14:44,Restaurants,Lake Nicholas,Prepaid,Web,0
T100246,C3011,224.09,27-07-25 15:08,Health,Thomaston,Credit,Web,0
T100247,C9782,487.25,29-08-25 13:23,Clothing,Danielview,Credit,Web,0
T100248,C5766,491.29,21-02-25 19:13,Electronics,Randyside,Prepaid,Mobile,0
T100249,C3439,117.45,18-05-25 23:06,Health,New Brandon,Debit,Web,0
T100250,C8533,428.47,18-04-25 19:26,Travel,Stephenmouth,Debit,POS,0
T100251,C6789,190.76,23-01-25 03:01,Health,West Michael,Prepaid,Web,0
T100252,C2410,565.98,25-07-25 06:23,Clothing,East Mariaburgh,Prepaid,POS,0
T100253,C3383,330.26,15-08-25 10:04,Groceries,Rodriguezstad,Credit,POS,0
T100254,C5916,94.47,01-04-25 23:50,Electronics,Teresabury,Debit,Web,0
T100255,C4032,579.72,25-08-25 02:36,Clothing,Brownfurt,Debit,POS,0
T100256,C9591,391.94,03-08-25 12:19,Electronics,West Jacob,Credit,POS,0
T100257,C5022,473.95,10-05-25 10:09,Clothing,Cooperburgh,Prepaid,Mobile,0
T100258,C9940,147.76,17-05-25 05:41,Health,Bushland,Prepaid,POS,0
T100259,C7780,130.97,04-02-25 20:10,Health,East Jennifertown,Credit,Web,0
T100260,C2085,410.57,19-05-25 02:38,Health,Youngland,Credit,Mobile,0
T100261,C9709,477.27,14-04-25 19:12,Clothing,Savannahside,Credit,Mobile,0
T100262,C9770,315.89,30-03-25 12:37,Clothing,Lake Coreyshire,Credit,Web,0
T100263,C5785,427.05,27-08-25 21:46,Clothing,Heatherton,Debit,Mobile,0
T100264,C2585,526.6,08-03-25 02:28,Gas,Marissaton,Debit,POS,0
T100265,C6468,429.27,10-02-25 20:40,Travel,Bishopfort,Prepaid,Web,0
T100266,C4405,143.83,30-08-25 09:34,Travel,Walkermouth,Prepaid,Mobile,0
T100267,C5077,233.79,11-07-25 18:33,Clothing,Lake Gabrielside,Debit,Mobile,0
T100268,C8646,479.12,19-08-25 00:29,Gas,Christinachester,Credit,Mobile,0
T100269,C1730,368.78,04-01-25 09:13,Electronics,Andrewshire,Debit,Mobile,0
T100270,C6453,119.59,09-01-25 00:27,Gas,Terriland,Credit,Mobile,0
T100271,C5812,28.64,23-05-25 14:05,Restaurants,Hensonton,Prepaid,Web,0
T100272,C8611,523.21,16-06-25 08:49,Entertainment,New Keithfort,Credit,Web,0
T100273,C5495,136.14,04-06-25 09:38,Health,Mariaview,Credit,Web,0
T100274,C5046,450.62,18-08-25 09:42,Gas,Lake Jessicaside,Debit,Mobile,0
T100275,C4786,288.23,13-06-25 04:54,Entertainment,New Donald,Prepaid,POS,0
T100276,C8673,485.75,26-03-25 05:01,Travel,Port Jennifer,Debit,Web,0
T100277,C9975,273.9,15-01-25 05:21,Gas,Edwardfurt,Debit,Web,0
T100278,C8634,375.34,12-01-25 06:08,Entertainment,East Teresaport,Debit,Mobile,0
T100279,C8135,369.57,20-03-25 18:39,Gas,West Christinestad,Credit,Web,0
T100280,C5952,502.83,26-05-25 13:59,Clothing,Jeffreyshire,Debit,Mobile,0
T100281,C3407,181.74,20-07-25 07:26,Entertainment,Lake Destiny,Credit,POS,0
T100282,C6398,413.23,13-02-25 21:55,Groceries,West Steventon,Credit,Mobile,0
T100283,C1945,43.68,20-07-25 21:30,Clothing,Gibsonside,Prepaid,Mobile,0
T100284,C7051,499.05,13-02-25 13:16,Restaurants,Christensenhaven,Credit,Mobile,0
T100285,C7867,522.64,14-08-25 21:56,Clothing,West Robertchester,Debit,Mobile,0
T100286,C7111,312.13,25-07-25 03:30,Entertainment,East Nathanside,Debit,Web,0
T100287,C7548,27.53,18-08-25 03:29,Restaurants,South Rachel,Debit,Mobile,0
T100288,C9055,301.16,13-03-25 17:51,Travel,Lake Samuelfurt,Debit,Web,0
T100289,C7446,419.46,06-08-25 16:57,Restaurants,Anthonyfurt,Debit,POS,0
T100290,C7001,562.88,21-04-25 16:20,Clothing,Ruizport,Prepaid,Mobile,0
T100291,C9444,192.91,01-04-25 23:03,Entertainment,West Janicefort,Debit,POS,0
T100292,C8983,426.61,24-04-25 02:17,Clothing,Aliciaburgh,Debit,POS,0
T100293,C3083,90.07,30-07-25 11:39,Groceries,Lake Tammymouth,Prepaid,Web,0
T100294,C5444,331.84,05-03-25 01:49,Gas,New Jamieland,Prepaid,POS,0
T100295,C9859,174.24,16-05-25 08:13,Electronics,New Aaronland,Prepaid,Mobile,0
T100296,C9640,410.71,28-01-25 13:52,Electronics,East Daniel,Prepaid,POS,0
T100297,C8420,279.69,09-04-25 10:48,Gas,Johnsonview,Debit,Mobile,0
T100298,C1649,354.18,18-08-25 10:33,Health,New Michaelmouth,Debit,Mobile,0
T100299,C6888,257.72,07-08-25 21:44,Health,Branchmouth,Credit,POS,0
T100300,C1303,310.28,24-01-25 20:30,Travel,Boltonbury,Debit,Mobile,0
T100301,C8426,296.88,14-04-25 16:43,Restaurants,Hodgesstad,Prepaid,Web,0
T100302,C8539,407.35,05-06-25 16:58,Entertainment,West Cindy,Prepaid,POS,0
T100303,C6887,330.07,03-08-25 23:27,Health,West Sierra,Prepaid,POS,0
T100304,C7179,187.7,01-01-25 20:43,Travel,Port Emmaburgh,Credit,POS,0
T100305,C2970,499.98,04-04-25 12:28,Groceries,Thomaston,Credit,POS,0
T100306,C9432,228.06,17-03-25 09:21,Entertainment,North Stevenbury,Credit,Web,0
T100307,C9749,281.34,17-01-25 02:35,Groceries,Emilyton,Credit,Web,0
T100308,C8441,234.28,26-06-25 02:07,Travel,North Connie,Prepaid,Web,0
T100309,C7834,18.88,20-04-25 20:56,Gas,Claudiaton,Credit,Web,0
T100310,C2301,309.85,29-01-25 19:31,Restaurants,Crystaltown,Debit,Web,0
T100311,C6753,211.97,16-01-25 18:42,Clothing,East Garrettview,Prepaid,Web,0
T100312,C4920,51.83,12-08-25 11:55,Gas,North Monicamouth,Credit,Mobile,0
T100313,C3955,484.69,22-03-25 10:14,Entertainment,Hughesland,Debit,Web,0
T100314,C6491,121.23,17-04-25 18:16,Health,Port Kristiland,Credit,POS,0
